quiz_id,text,thumbnail_url,questionType,learnMore_url
31,"Which iconic Disneyland attraction was closed in 2017 to be remodeled as a Guardians of the Galaxy themed ride?","","multiple",""
31,"Who invented Pastafarianism?","","multiple",""
31,"What is real haggis made of?","","multiple",""
31,"In ancient Greece if your job were a hippeus which of these would you own?","","multiple",""
31,"What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?","","multiple",""
31,"Which logical fallacy means to attack the character of your opponent rather than their arguments?","","multiple",""
32,"What is the fastest  land animal?","","multiple",""
32,"What is the scientific name for modern day humans?","","multiple",""
32,"Hippocampus is the Latin name for which marine creature?","","multiple",""
32,"How many legs do butterflies have?","","multiple",""
32,"What do you call a baby bat?","","multiple",""
32,"What is Grumpy Cats real name?","","multiple",""
32,"Which class of animals are newts members of?","","multiple",""
32,"What is the collective noun for a group of crows?","","multiple",""
32,"What colour is the female blackbird?","","multiple",""
32,"How many teeth does an adult rabbit have?","","multiple",""
33,"Who was the only god from Greece who did not get a name change in Rome?","","multiple",""
33,"The ancient Roman god of war was commonly known as which of the following?","","multiple",""
33,"Who in Greek mythology who led the Argonauts in search of the Golden Fleece?","","multiple",""
33,"Who was the King of Gods in Ancient Greek mythology?","","multiple",""
33,"Which Greek &amp; Roman god was known as the god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more?","","multiple",""
33,"The greek god Poseidon was the god of what?","","multiple",""
33,"In Greek mythology who is the god of wine?","","multiple",""
33,"In most traditions who was the wife of Zeus?","","multiple",""
33,"What mythology did the god Apollo come from?","","multiple",""
33,"What mytological creatures have womens faces and vultures bodies?","","multiple",""
34,"Which author and poet famously wrote the line The female of the species is more deadly than the male?","","multiple",""
34,"In the Beatrix Potter books what type of animal is Tommy Brock?","","multiple",""
34,"Who wrote the novel Moby-Dick?","","multiple",""
34,"What is Ron Weasleys middle name?","","multiple",""
34,"Abel Magwitch is a character from which Charles Dickens novel?","","multiple",""
34,"Where does the book The Silence of the Lambs get its title from?","","multiple",""
34,"Which of the following is NOT a work done by Shakespeare?","","multiple",""
34,"In the book series Odd Thomas Danny Jessup has what genetic disease? ","","multiple",""
34,"In Margaret Atwoods The Handmaids Tale what is Offreds real name is implied to be?","","multiple",""
34,"In which classic novel by Mark Twain did a beggar and Prince of Wales switch clothes, and learn about social class inequality?","","multiple",""
35,"Which sign of the zodiac is represented by the Crab?","","multiple",""
35,"What word represents the letter T in the NATO phonetic alphabet?","","multiple",""
35,"What type of animal was Harambe who was shot after a child fell into its enclosure at the Cincinnati Zoo?","","multiple",""
35,"What is the name of Poland in Polish?","","multiple",""
35,"The New York Times slogan is All the News Thats Fit to...;","","multiple",""
35,"What is the Zodiac symbol for Gemini?","","multiple",""
35,"The Flag of the European Union has how many stars on it?","","multiple",""
35,"When one is envious they are said to be what color?","","multiple",""
35,"The Canadian $1 coin is colloquially known as a what?","","multiple",""
35,"Which of the following blood component forms a plug at the site of injuries?","","multiple",""
36,"Which was the first of Alfred Hitchcocks movies to be filmed in colour?","","multiple",""
36,"In the film Interstellar how long did they spend on Millers planet?","","multiple",""
36,"In the 1976 film Taxi Driver how many guns did Travis buy from the salesman?","","multiple",""
36,"What did the first moving picture depict?","","multiple",""
36,"In 2012 which movie won every category in the 32nd Golden Raspberry Awards?","","multiple",""
36,"According to Star Wars lore which planet does Obi-Wan Kenobi come from?","","multiple",""
36,"Which actress portrayed Dr. Grace Augustine in the James Cameron movie Avatar?","","multiple",""
36,"In the film Harry Potter and the Order of The Phoenix why was Harry Potters scream, after Sirius Black died, muted?","","multiple",""
36,"What was the wifi password given to Stephen Strange in Doctor Strange?","","multiple",""
36,"Which singer is portrayed by Bruce Campbell in the 2002 film Bubba Ho-Tep?","","multiple",""
37,"What color/colour is a polar bears skin?","","multiple",""
37,"Cashmere is the wool from which kind of animal?","","multiple",""
37,"What is the scientific name for the Polar Bear?","","multiple",""
37,"What are rhinos horn made of?","","multiple",""
37,"For what reason would a spotted hyena laugh?","","multiple",""
37,"Which animal was part of an Russian domestication experiment in 1959?","","multiple",""
37,"The now extinct species Thylacine was native to where?","","multiple",""
37,"Which of these species is not extinct?","","multiple",""
37,"What is the common term for bovine spongiform encephalopathy (BSE)?","","multiple",""
37,"What is the worlds longest venomous snake?","","multiple",""
38,"Which famous book is sub-titled The Modern Prometheus?","","multiple",""
38,"Green Eggs And Ham is a book by which author?","","multiple",""
38,"Which famous spy novelist wrote the childrens story Chitty-Chitty-Bang-Bang?","","multiple",""
38,"Under what pseudonym did Stephen King publish five novels between 1977 and 1984?","","multiple",""
38,"Whats Harry Potters dads name?","","multiple",""
38,"What is the name of the three headed dog in Harry Potter and the Sorcerers Stone?","","multiple",""
38,"Whats the second book in George R. R. Martins A Song of Ice and Fire series?","","multiple",""
38,"In the novel 1984 written by George Orwell what is the name of the totalitarian regime that controls Oceania?","","multiple",""
38,"Who wrote A Tale of Two Cities?","","multiple",""
38,"What was Sir Handels original name in The Railway Series and its animated counterpart Thomas and Friends?","","multiple",""
39,"What was the pen name of novelist Mary Ann Evans?","","multiple",""
39,"J.K. Rowling completed Harry Potter and the Deathly Hallows in which hotel in Edinburgh, Scotland?","","multiple",""
39,"The title of Adolf Hitlers autobiography Mein Kampf is what when translated to English?","","multiple",""
39,"Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?","","multiple",""
39,"According to The Hitchhikers Guide to the Galaxy book the answer to life, the universe and everything else is...","","multiple",""
39,"The book The Little Prince was written by...","","multiple",""
39,"What is the name of the gang that Ponyboy is a part of in the book The Outsiders?","","multiple",""
39,"The book Fahrenheit 451 was written by whom?","","multiple",""
39,"What is the name of Eragons dragon in Eragon?","","multiple",""
39,"Who is the author of the series Malazan Book of the Fallen?","","multiple",""
40,"This Greek mythological figure is the god/goddess of battle strategy (among other things).","","multiple",""
40,"Who was the Roman god of fire?","","multiple",""
40,"Neptunes greek name was...","","multiple",""
40,"Which of these Roman gods doesnt have a counterpart in Greek mythology?","","multiple",""
40,"According to the Egyptian Myth of Osiris who murdered Osiris?","","multiple",""
40,"Which of the following is not one of the Greek Fates?","","multiple",""
40,"In African mythology Anansi is a trickster and storyteller who takes the shape of which animal?","","multiple",""
40,"The Maori hold that which island nation was founded by Kupe who discovered it under a long white cloud?","","multiple",""
40,"Who is the god of war in Polynesian mythology?","","multiple",""
40,"Which greek god/goddess tossed a golden apple with the words for the fairest into the middle of the feast of the gods?","","multiple",""
41,"Who had a 1983 hit with the song Africa?","","multiple",""
41,"Some people call me the space cowboy is the first line from what song?","","multiple",""
41,"How many studio albums have the duo Daft Punk released?","","multiple",""
41,"Sting the lead vocalist of The Police, primarily plays what instrument?","","multiple",""
41,"In 2006 which band released their debut album A Fever You Cant Sweat Out?","","multiple",""
41,"Who was featured in the song Words by Feint? ","","multiple",""
41,"Whose albums included Back in Black and Ballbreaker?","","multiple",""
41,"Which punk rock band released hit songs such as Californication Cant Stop and Under the Bridge?","","multiple",""
41,"Which music publication is often abbreviated to NME?","","multiple",""
41,"Who is the lead singer of Foo Fighters?","","multiple",""
42,"What is the capital of Indonesia?","","multiple",""
42,"Which of these is NOT an Australian state or territory?","","multiple",""
42,"Which country does Austria not border?","","multiple",""
42,"What colour is the circle on the Japanese flag?","","multiple",""
42,"What is the only state in the United States that does not have a flag in a shape with 4 edges?","","multiple",""
42,"How many time zones does China have?","","multiple",""
42,"How many countries does the United States share a land border with?","","multiple",""
42,"Which UK country features a dragon on their flag?","","multiple",""
42,"How many stars are featured on New Zealands flag?","","multiple",""
42,"What is Laos?","","multiple",""
43,"Which Elton John hit starts with the line When are you gonna come down?","","multiple",""
43,"Who recorded the 1975 album Captain Fantastic and the Brown Dirt Cowboy?","","multiple",""
43,"Which band is the longest active band in the world with no breaks or line-up changes?","","multiple",""
43,"What is the English title of the vaporwave track リサフランク420 / 現代のコンピュー by Macintosh Plus (Vektroid)?","","multiple",""
43,"Which year was the album Floral Shoppe by Macintosh Plus released?","","multiple",""
43,"What was the name of the hip hop group Kanye West was a member of in the late 90s?","","multiple",""
43,"What is the stage name of New Zealand singer Phillipa Pip Brown?","","multiple",""
43,"What was the name of the rock band that Nobuo Uematsu formed that played songs from various Final Fantasy games?","","multiple",""
43,"Chino Moreno is the lead singer of which alternative metal band?","","multiple",""
43,"Panic! At the Discos sixth album Pray For The Wicked was released on which date?","","multiple",""
44,"Which Toronto landmark was featured on the cover art of Canadian rapper Drakes 2016 album Views?","","multiple",""
44,"EDM record label Monstercat is based in which country?","","multiple",""
44,"Which of these is NOT a song on The Beatles 1968 self titled album, also known as the White album?","","multiple",""
44,"Which of these is NOT a song by Pegboard Nerds?","","multiple",""
44,"Which member of The Beatles narrated episodes of Thomas the Tank Engine?","","multiple",""
44,"What is rapper Drakes real name?","","multiple",""
44,"From which country does the piano originate?","","multiple",""
44,"Liam Howlett founded which electronic music group in 1990?","","multiple",""
44,"74&ndash;75 is a 1993 single from the album Ring by what American band?","","multiple",""
44,"In August 1964 who introduced the Beatles to cannabis?","","multiple",""
45,"All of the following human genetic haplogroup names are shared between Y-chromosome and mitochondrial DNA haplogroups EXCEPT:","","multiple",""
45,"Which of these chemical compounds is NOT found in gastric acid?","","multiple",""
45,"Which moon is the only satellite in our solar system to possess a dense atmosphere?","","multiple",""
45,"How much radiation does a banana emit?","","multiple",""
45,"Muscle fiber is constructed of bundles small long organelles called what?","","multiple",""
45,"What physics principle relates the net electric flux out of a closed surface to the charge enclosed by that surface?","","multiple",""
45,"Which of the following elements is typically used in the doping of the semiconductor silicon?","","multiple",""
45,"What is the most potent toxin known?","","multiple",""
45,"What causes the sound of a heartbeat?","","multiple",""
45,"How many types of quarks are there in the standard model of physics?","","multiple",""
46,"The following Spanish provinces are located in the northern area of Spain except:","","multiple",""
46,"The World Health Organization headquarters is located in which European country?","","multiple",""
46,"Which one of these countries borders with Poland?","","multiple",""
46,"What city  has the busiest airport in the world?","","multiple",""
46,"What is the official national language of Pakistan?","","multiple",""
46,"What is the name of the only remaining Grand Duchy in the world ?","","multiple",""
46,"Frankenmuth a US city nicknamed Little Bavaria is located in what state?","","multiple",""
46,"What is the northernmost human settlement with year round inhabitants?","","multiple",""
46,"How many time zones are in Russia?","","multiple",""
46,"What was the African nation of Zimbabwe formerly known as?","","multiple",""
47,"Talos the mythical giant bronze man, was the protector of which island?","","multiple",""
47,"What was the punishment for Sysiphuss craftiness?","","multiple",""
47,"According to Algonquian folklore how does one transform into a Wendigo?","","multiple",""
47,"In Greek Mythology who was the daughter of King Minos?","","multiple",""
47,"In Norse mythology what is the name of the serpent which eats the roots of the ash tree Yggdrasil?","","multiple",""
47,"Which of the following is NOT a god in Norse Mythology.","","multiple",""
47,"Nidhogg is a mythical creature from what mythology?","","multiple",""
47,"Who is the Egyptian god of reproduction and lettuce?","","multiple",""
47,"Which Norse God has a horse named Sleipnir?","","multiple",""
47,"Who is a minor god that is protector and creator of various arts such as cheese making and bee keeping.","","multiple",""
48,"Gannymede is the largest moon of which planet?","","multiple",""
48,"The Axiom of Preventive Medicine states that people with ___ risk for a disease should be screened and we should treat ___ of those people.","","multiple",""
48,"The Tibia is found in which part of the body?","","multiple",""
48,"The medical condition osteoporosis affects which part of the body?","","multiple",""
48,"Which one of these scientists conducted the Gold Foil Experiment which concluded that atoms are mostly made of empty space?","","multiple",""
48,"After which Danish city is the 72th element on the periodic table named?","","multiple",""
48,"Which of these is a type of stretch/deep tendon reflex?","","multiple",""
48,"What are human nails made of?","","multiple",""
48,"Which color cannot be produced in Roses even through genetic alteration?","","multiple",""
48,"When was the first mammal successfully cloned?","","multiple",""
